Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,0.27421,-0.14456,0.35358,0,0,0,3338.7,1620.8,5.8895E-06,0.005018,13518,-16.336,14637,0,0,0,0,0,0,package://solidworks2ros_try35/meshes/base_link.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://solidworks2ros_try35/meshes/base_link.STL,,Part11_4support (1)-1;Part2_4arduino-1;Part1_4arduino (1)-1;Part5_4support-2;Part5_4support-1,Coordinate System0,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
link1,-0.0028443,0.0029656,1.6945,0,0,0,823.32,2630.9,0.034568,-0.0063149,2630.9,0.23572,118.2,0,0,0,0,0,0,package://solidworks2ros_try35/meshes/link1.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://solidworks2ros_try35/meshes/link1.STL,,Assem2_4support-4;4stand_part2-2,Coordinate System5,Axis5,joint1,continuous,2.9619,-0.0029702,0.85629,0,0,0,base_link,0,0,-1,100,2,,,,,,,,,,
link2,0.0039258,0.0012118,-0.059794,0,0,0,479.53,62.098,2.1851E-14,-1.9085E-13,62.098,-4.9674E-14,114.95,0,0,0,0,0,0,package://solidworks2ros_try35/meshes/link2.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://solidworks2ros_try35/meshes/link2.STL,,Assem2_4support-3,Coordinate System4,Axis4,joint2,continuous,1.4756,-0.0012118,0.85629,0,0,0,base_link,0,0,-1,100,2,,,,,,,,,,
link3,-0.0028446,0.0029646,-0.059794,0,0,0,479.53,62.098,-2.0492E-14,1.748E-13,62.098,1.8841E-14,114.95,0,0,0,0,0,0,package://solidworks2ros_try35/meshes/link3.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://solidworks2ros_try35/meshes/link3.STL,,Assem2_4support-5,Coordinate System3,Axis3,joint3,continuous,0.0028446,-0.0029646,0.85629,0,0,0,base_link,0,0,-1,100,2,,,,,,,,,,
link4,0.0039363,0.0011773,-0.059794,0,0,0,479.53,62.098,3.0743E-14,-3.4524E-14,62.098,-2.8969E-14,114.95,0,0,0,0,0,0,package://solidworks2ros_try35/meshes/link4.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://solidworks2ros_try35/meshes/link4.STL,,Assem2_4support-2,Coordinate System2,Axis2,joint4,continuous,-1.4835,-0.0011773,0.85629,0,0,0,base_link,0,0,-1,100,2,,,,,,,,,,
link5,-0.0040861,0.00049413,1.6945,0,0,0,823.32,2630.9,0.0059088,0.17812,2630.8,0.15453,118.2,0,0,0,0,0,0,package://solidworks2ros_try35/meshes/link5.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://solidworks2ros_try35/meshes/link5.STL,,Assem2_4support-1;4stand_part2-1,Coordinate System1,Axis1,joint5,continuous,-2.955,-0.00049273,0.85629,0,0,0,base_link,0,0,-1,100,2,,,,,,,,,,
link6,-0.29136,0.0012221,-0.36273,0,0,0,1056.6,266.76,-1.8648E-06,1.3768E-13,884.97,-1.0553,1059.3,0,0,0,0,0,0,package://solidworks2ros_try35/meshes/link6.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://solidworks2ros_try35/meshes/link6.STL,,Assem111-4/4stand_part1-1;Assem111-4/4servo_Part1-1;Assem111-4/Part_b-1;Assem111-4/4servo_part3-1;Assem111-4/4stand_part1-2;Assem111-4/Part_f-1;Assem111-4/4servo_part3-2,Coordinate System7,Axis7,joint6,prismatic,0.41726,0,10.132,0,0,0,base_link,0,0,-1,100,2,0,0,,,,,,,,
link7,-0.96876,-0.00015639,-0.00040474,0,0,0,110.61,1.7188,-0.036134,0.032169,65.104,0.0012089,65.105,0,0,0,0,0,0,package://solidworks2ros_try35/meshes/link7.STL,1,1,1,1,0,0,0,0,0,0,package://solidworks2ros_try35/meshes/link7.STL,,Assem111-4/Part_d-1,Coordinate System6,Axis6,joint7,continuous,-0.4572,0,-0.508,0,0,0,link6,1,0,0,100,2,,,,,,,,,,
lilnk8,0.95535,-9.33E-06,0.00043383,0,0,0,110.61,1.7188,0.044925,0.017952,65.103,-0.00056874,65.106,0,0,0,0,0,0,package://solidworks2ros_try35/meshes/lilnk8.STL,1,1,1,1,0,0,0,0,0,0,package://solidworks2ros_try35/meshes/lilnk8.STL,,Assem111-4/Part_d-4,Coordinate System9,Axis6,joint8,continuous,-0.4572,0,-0.508,0,0,0,link6,1,0,0,100,2,,,,,,,,,,
link9,0.00016455,-0.0013229,-0.40635,0,0,0,748.8,599.5,0.013919,0.066567,492.8,0.43831,124.43,0,0,0,0,0,0,package://solidworks2ros_try35/meshes/link9.STL,0.58824,0.58824,0.63137,1,0,0,0,0,0,0,package://solidworks2ros_try35/meshes/link9.STL,,Assem111-4/Part_c-1,Coordinate System10,Axis6,joint9,prismatic,-2.6144,0,-1.27,0,0,0,link6,1,0,0,100,2,0,0,,,,,,,,
link10,-0.00016455,0.0013229,-0.40635,0,0,0,748.8,599.5,0.013919,-0.066567,492.8,-0.43831,124.43,0,0,0,0,0,0,package://solidworks2ros_try35/meshes/link10.STL,0.58824,0.58824,0.63137,1,0,0,0,0,0,0,package://solidworks2ros_try35/meshes/link10.STL,,Assem111-4/Part_c-3,Coordinate System11,Axis6,joint10,prismatic,1.7,0,-1.27,0,0,0,link6,1,0,0,100,2,0,0,,,,,,,,
link11,2.5705E-11,7.4808E-11,-0.064749,0,0,0,70.221,3.3885,5.3501E-08,1.0697E-10,3.3885,3.2471E-10,6.5667,0,0,0,0,0,0,package://solidworks2ros_try35/meshes/link11.STL,0.77647,0.75686,0.73725,1,0,0,0,0,0,0,package://solidworks2ros_try35/meshes/link11.STL,,Assem111-4/straight bevel gear_ai-2,Coordinate System7,Axis7,joint11,continuous,0,0,0,0,0,0,link6,0,0,-1,100,2,,,,,,,,,,
link12,-0.0040775,3.9634E-05,-0.00057525,0,0,0,69.71,7.0137,7.2533E-06,-0.00010526,3.6371,-0.00041872,3.6431,0,0,0,0,0,0,package://solidworks2ros_try35/meshes/link12.STL,0.77647,0.75686,0.73725,1,0,0,0,0,0,0,package://solidworks2ros_try35/meshes/link12.STL,,Assem111-4/straight bevel gear_ai-1,Coordinate System6,Axis6,joint12,continuous,-0.4572,0,-0.508,0,0,0,link6,1,0,0,100,2,,,,,,,,,,
